Data0
Fwd_Height_in_meter	Fwd_DFL_in_Ampere	Bwd_Height_in_meter	Bwd_DFL_in_Ampere
-4,990999984741211e-08	1,101771895939407e-09	-4,990999984741211e-08	1,069725974467417e-09
-4,885897886753083e-08	1,094141888202671e-09	-4,885897886753083e-08	1,065147969825375e-09
-4,780795788764954e-08	1,088037882013282e-09	-4,780795788764954e-08	1,055991960541292e-09
-4,675693690776825e-08	1,083459988393543e-09	-4,675693690776825e-08	1,039205943520471e-09
-4,570591592788696e-08	1,077355982204153e-09	-4,570591592788696e-08	1,019367923404957e-09
-4,465489494800568e-08	1,069725974467417e-09	-4,465489494800568e-08	9,98003901742095e-10
-4,360387396812439e-08	1,062095966730681e-09	-4,360387396812439e-08	9,796919941962301e-10
-4,25528529882431e-08	1,055991960541292e-09	-4,25528529882431e-08	9,613799756280628e-10
-4,150183200836182e-08	1,05141395589925e-09	-4,150183200836182e-08	9,430679570598954e-10
-4,045081102848053e-08	1,046835951257208e-09	-4,045081102848053e-08	9,232299924555321e-10
-3,939979004859924e-08	1,040731945067819e-09	-3,939979004859924e-08	9,06443975434712e-10
-3,834876906871796e-08	1,033102048353385e-09	-3,834876906871796e-08	8,896579584138919e-10
-3,729774808883667e-08	1,026998042163996e-09	-3,729774808883667e-08	8,743979429404192e-10
-3,624672710895539e-08	1,019367923404957e-09	-3,624672710895539e-08	8,591379829780976e-10
-3,51957061290741e-08	1,01173791566822e-09	-3,51957061290741e-08	8,438779675046248e-10
-3,414468514919281e-08	1,002581906384137e-09	-3,414468514919281e-08	8,270919504838048e-10
-3,309366416931153e-08	9,934258971000531e-10	-3,309366416931153e-08	8,118319905214832e-10
-3,204264318943024e-08	9,888478924580113e-10	-3,204264318943024e-08	7,950459735006632e-10
-3,099162220954895e-08	9,827439972909247e-10	-3,099162220954895e-08	7,782599564798431e-10
-2,994060122966766e-08	9,751139895541883e-10	-2,994060122966766e-08	7,645259980648689e-10
-2,888958024978638e-08	9,674839818174519e-10	-2,888958024978638e-08	7,492659270802449e-10
-2,783855926990509e-08	9,613799756280628e-10	-2,783855926990509e-08	7,340059671179233e-10
-2,67875382900238e-08	9,537499678913264e-10	-2,67875382900238e-08	7,233239562864924e-10
-2,573651731014252e-08	9,4611996015459e-10	-2,573651731014252e-08	7,095899978715181e-10
-2,468549633026123e-08	9,400159539652009e-10	-2,468549633026123e-08	6,928039808506981e-10
-2,363447535037994e-08	9,308599446811172e-10	-2,363447535037994e-08	6,775439653772253e-10
-2,258345437049866e-08	9,247559384917281e-10	-2,258345437049866e-08	6,622840054149037e-10
-2,153243339061737e-08	9,171259862661429e-10	-2,153243339061737e-08	6,500759375249743e-10
-2,048141241073608e-08	9,06443975434712e-10	-2,048141241073608e-08	6,378679806573473e-10
-1,943039143085479e-08	8,972879661506283e-10	-1,943039143085479e-08	6,241339667312218e-10
-1,837937045097351e-08	8,927099615085865e-10	-1,837937045097351e-08	6,134520114109421e-10
-1,732834947109222e-08	8,835539522245028e-10	-1,732834947109222e-08	5,997179419736653e-10
-1,627732849121094e-08	8,728719969042231e-10	-1,627732849121094e-08	5,875099851060384e-10
-1,522630751132965e-08	8,637159876201395e-10	-1,522630751132965e-08	5,768279742746074e-10
-1,417528653144836e-08	8,545599783360558e-10	-1,417528653144836e-08	5,646200174069804e-10
-1,312426555156708e-08	8,454039690519721e-10	-1,312426555156708e-08	5,508859479697037e-10
-1,207324457168579e-08	8,377739613152357e-10	-1,207324457168579e-08	5,371519895547294e-10
-1,10222235918045e-08	8,301439535784993e-10	-1,10222235918045e-08	5,249439771759512e-10
-9,971202611923218e-09	8,225140013529142e-10	-9,971202611923218e-09	5,157880234030188e-10
-8,920181632041928e-09	8,118319905214832e-10	-8,920181632041928e-09	5,051059570604366e-10
-7,869160652160644e-09	8,042019272735956e-10	-7,869160652160644e-09	4,913719986454623e-10
-6,818139672279353e-09	7,950459735006632e-10	-6,818139672279353e-09	4,791639862666841e-10
-5,767118692398069e-09	7,843639626692323e-10	-5,767118692398069e-09	4,684819754352532e-10
-4,716097712516785e-09	7,736819518378013e-10	-4,716097712516785e-09	4,593259939067451e-10
-3,665076732635494e-09	7,645259980648689e-10	-3,665076732635494e-09	4,471179815279669e-10
-2,61405575275421e-09	7,538439317222867e-10	-2,61405575275421e-09	4,349099969047643e-10
-1,56303477287292e-09	7,43161976402007e-10	-1,56303477287292e-09	4,227019845259861e-10
-5,120137929916355e-10	7,340059671179233e-10	-5,120137929916355e-10	4,120199736945551e-10
5,390071868896552e-10	7,233239562864924e-10	5,390071868896552e-10	4,043899937133943e-10
1,590028166770939e-09	7,111159994188654e-10	1,590028166770939e-09	3,921819813346161e-10
2,641049146652223e-09	7,019599346236305e-10	2,641049146652223e-09	3,814999982587608e-10
3,692070126533514e-09	6,958559284342414e-10	3,692070126533514e-09	3,723439889746771e-10
4,743091106414798e-09	6,851739731139617e-10	4,743091106414798e-09	3,601360043514745e-10
5,794112086296089e-09	6,775439653772253e-10	5,794112086296089e-09	3,525059688591625e-10
6,845133066177373e-09	6,699140131516401e-10	6,845133066177373e-09	3,418239857833072e-10
7,896154046058657e-09	6,622840054149037e-10	7,896154046058657e-09	3,341940058021464e-10
8,947175025939947e-09	6,531279406196688e-10	8,947175025939947e-09	3,235119672151399e-10
9,998196005821238e-09	6,454979328829324e-10	9,998196005821238e-09	3,158819872339791e-10
1,104921698570252e-08	6,348159775626527e-10	1,104921698570252e-08	3,051999764025481e-10
1,210023796558381e-08	6,256599682785691e-10	1,210023796558381e-08	2,960439948740401e-10
1,315125894546509e-08	6,149780129582894e-10	1,315125894546509e-08	2,868879855899564e-10
1,420227992534637e-08	6,058219481630545e-10	1,420227992534637e-08	2,777319763058728e-10
1,525330090522767e-08	5,966659388789708e-10	1,525330090522767e-08	2,670499932300174e-10
1,630432188510896e-08	5,890359866533856e-10	1,630432188510896e-08	2,594200132488567e-10
1,735534286499024e-08	5,783539758219547e-10	1,735534286499024e-08	2,487379746618501e-10
1,840636384487152e-08	5,691980220490223e-10	1,840636384487152e-08	2,395819931333421e-10
1,945738482475281e-08	5,615680143122859e-10	1,945738482475281e-08	2,334779869439529e-10
2,050840580463411e-08	5,539379510643982e-10	2,050840580463411e-08	2,227959899903098e-10
2,155942678451539e-08	5,447819417803146e-10	2,155942678451539e-08	2,136399945840139e-10
2,261044776439667e-08	5,386779911020767e-10	2,261044776439667e-08	2,044839991777181e-10
2,366146874427796e-08	5,279959802706458e-10	2,366146874427796e-08	1,98379992988329e-10
2,471248972415924e-08	5,218919740812566e-10	2,471248972415924e-08	1,907499991293804e-10
2,576351070404054e-08	5,112099632498257e-10	2,576351070404054e-08	1,815939898452967e-10
2,681453168392182e-08	5,035799555130893e-10	2,681453168392182e-08	1,724379944390009e-10
2,786555266380311e-08	4,944239462290057e-10	2,786555266380311e-08	1,67859989796959e-10
2,891657364368439e-08	4,852679924560732e-10	2,891657364368439e-08	1,602299959380105e-10
2,996759462356567e-08	4,791639862666841e-10	2,996759462356567e-08	1,525999882012741e-10
3,101861560344697e-08	4,715339785299477e-10	3,101861560344697e-08	1,434439927949782e-10
3,206963658332826e-08	4,639039707932113e-10	3,206963658332826e-08	1,358139989360296e-10
3,312065756320954e-08	4,562739908120506e-10	3,312065756320954e-08	1,297100066244283e-10
3,417167854309082e-08	4,486439830753142e-10	3,417167854309082e-08	1,236059865572514e-10
3,522269952297211e-08	4,425399768859251e-10	3,522269952297211e-08	1,175019942456501e-10
3,627372050285341e-08	4,349099969047643e-10	3,627372050285341e-08	1,083459988393543e-10
3,732474148273469e-08	4,25753959865105e-10	3,732474148273469e-08	1,02241999588859e-10
3,837576246261597e-08	4,181239798839442e-10	3,837576246261597e-08	9,918999649416449e-11
3,942678344249726e-08	4,104939999027835e-10	3,942678344249726e-08	9,308599724366928e-11
4,047780442237854e-08	4,043899937133943e-10	4,047780442237854e-08	8,698199105428017e-11
4,152882540225984e-08	3,952339844293107e-10	4,152882540225984e-08	7,935199719533159e-11
4,257984638214112e-08	3,860780029008026e-10	4,257984638214112e-08	7,477399255328976e-11
4,363086736202241e-08	3,799739967114135e-10	4,363086736202241e-08	7,019600178903573e-11
4,468188834190369e-08	3,723439889746771e-10	4,468188834190369e-08	6,409199559964662e-11
4,573290932178498e-08	3,66239982785288e-10	4,573290932178498e-08	5,646199480180414e-11
4,678393030166627e-08	3,616619781432462e-10	4,678393030166627e-08	5,340999864600349e-11
4,783495128154756e-08	3,540319704065098e-10	4,783495128154756e-08	4,5779997848161e-11
