"H	K	L	2THETA	D-VALUE	MULT	INTENSITY"
"1	1	-1	38.51	2.3379	2	1000.0"
"1	-1	1	38.51	2.3379	2	1000.0"
"1	-1	-1	38.51	2.3379	2	1000.0"
"1	1	1	38.51	2.3379	2	1000.0"
"0	2	0	44.76	2.0247	2	625.5"
"2	0	0	44.76	2.0247	2	625.5"
"0	0	2	44.76	2.0247	2	625.5"
"2	-2	0	65.16	1.4317	2	175.7"
"2	0	-2	65.16	1.4317	2	175.7"
"0	2	-2	65.16	1.4317	2	175.7"
"2	2	0	65.16	1.4317	2	175.7"
"2	0	2	65.16	1.4317	2	175.7"
"0	2	2	65.16	1.4317	2	175.7"
"1	-3	1	78.31	1.2209	2	92.8"
"1	1	-3	78.31	1.2209	2	92.8"
"3	-1	-1	78.31	1.2209	2	92.8"
"1	3	-1	78.31	1.2209	2	92.8"
"1	-1	3	78.31	1.2209	2	92.8"
"3	1	-1	78.31	1.2209	2	92.8"
"3	-1	1	78.31	1.2209	2	92.8"
"1	-3	-1	78.31	1.2209	2	92.8"
"1	-1	-3	78.31	1.2209	2	92.8"
"1	3	1	78.31	1.2209	2	92.8"
"3	1	1	78.31	1.2209	2	92.8"
"1	1	3	78.31	1.2209	2	92.8"
"2	-2	2	82.52	1.1690	2	78.3"
"2	-2	-2	82.52	1.1690	2	78.3"
"2	2	-2	82.52	1.1690	2	78.3"
"2	2	2	82.52	1.1690	2	78.3"
"4	0	0	99.19	1.0123	2	48.3"
"0	4	0	99.19	1.0123	2	48.3"
"0	0	4	99.19	1.0123	2	48.3"
"1	-3	3	112.16	0.9290	2	40.8"
"3	3	-1	112.16	0.9290	2	40.8"
"3	-3	1	112.16	0.9290	2	40.8"
"3	1	-3	112.16	0.9290	2	40.8"
"3	-3	-1	112.16	0.9290	2	40.8"
"1	3	-3	112.16	0.9290	2	40.8"
"3	-1	3	112.16	0.9290	2	40.8"
"3	-1	-3	112.16	0.9290	2	40.8"
"1	-3	-3	112.16	0.9290	2	40.8"
"3	1	3	112.16	0.9290	2	40.8"
"1	3	3	112.16	0.9290	2	40.8"
"3	3	1	112.16	0.9290	2	40.8"
"4	2	0	116.72	0.9055	2	40.0"
"2	4	0	116.72	0.9055	2	40.0"
"0	4	2	116.72	0.9055	2	40.0"
"2	0	-4	116.72	0.9055	2	40.0"
"0	2	-4	116.72	0.9055	2	40.0"
"2	0	4	116.72	0.9055	2	40.0"
"4	-2	0	116.72	0.9055	2	40.0"
"2	-4	0	116.72	0.9055	2	40.0"
"4	0	-2	116.72	0.9055	2	40.0"
"0	2	4	116.72	0.9055	2	40.0"
"4	0	2	116.72	0.9055	2	40.0"
"0	4	-2	116.72	0.9055	2	40.0"
