"H	K	L	2THETA	D-VALUE	MULT	INTENSITY"
"0	0	2	31.85	2.8095	2	1000.0"
"1	-1	0	34.84	2.5747	2	193.6"
"1	0	0	34.84	2.5747	2	193.6"
"0	1	0	34.84	2.5747	2	193.6"
"1	-1	1	38.46	2.3407	2	433.5"
"1	-1	-1	38.46	2.3407	2	433.5"
"0	1	-1	38.46	2.3407	2	433.5"
"1	0	-1	38.46	2.3407	2	433.5"
"1	0	1	38.46	2.3407	2	433.5"
"0	1	1	38.46	2.3407	2	433.5"
"0	1	-2	47.92	1.8982	2	71.9"
"1	-1	2	47.92	1.8982	2	71.9"
"1	0	-2	47.92	1.8982	2	71.9"
"1	-1	-2	47.92	1.8982	2	71.9"
"0	1	2	47.92	1.8982	2	71.9"
"1	0	2	47.92	1.8982	2	71.9"
"1	-1	3	61.19	1.5146	2	92.6"
"0	1	-3	61.19	1.5146	2	92.6"
"1	0	-3	61.19	1.5146	2	92.6"
"1	-1	-3	61.19	1.5146	2	92.6"
"0	1	3	61.19	1.5146	2	92.6"
"1	0	3	61.19	1.5146	2	92.6"
"2	-1	0	62.48	1.4865	2	114.7"
"1	-2	0	62.48	1.4865	2	114.7"
"1	1	0	62.48	1.4865	2	114.7"
"2	-1	-1	64.88	1.4371	2	0.0"
"1	-2	-1	64.88	1.4371	2	0.0"
"1	-2	1	64.88	1.4371	2	0.0"
"2	-1	1	64.88	1.4371	2	0.0"
"0	0	4	66.57	1.4047	2	91.5"
"2	-1	-2	71.85	1.3139	2	70.0"
"1	-2	2	71.85	1.3139	2	70.0"
"1	1	-2	71.85	1.3139	2	70.0"
"1	-2	-2	71.85	1.3139	2	70.0"
"2	-1	2	71.85	1.3139	2	70.0"
"1	1	2	71.85	1.3139	2	70.0"
"2	-2	0	73.57	1.2873	2	16.1"
"2	0	0	73.57	1.2873	2	16.1"
"0	2	0	73.57	1.2873	2	16.1"
"2	-2	1	75.81	1.2548	2	43.8"
"2	-2	-1	75.81	1.2548	2	43.8"
"2	0	-1	75.81	1.2548	2	43.8"
"2	0	1	75.81	1.2548	2	43.8"
"0	2	-1	75.81	1.2548	2	43.8"
"0	2	1	75.81	1.2548	2	43.8"
"1	-1	4	77.39	1.2331	2	13.6"
"1	0	-4	77.39	1.2331	2	13.6"
"0	1	-4	77.39	1.2331	2	13.6"
"1	-1	-4	77.39	1.2331	2	13.6"
"0	1	4	77.39	1.2331	2	13.6"
"1	0	4	77.39	1.2331	2	13.6"
"2	-2	2	82.40	1.1703	2	11.2"
"2	-2	-2	82.40	1.1703	2	11.2"
"2	0	-2	82.40	1.1703	2	11.2"
"0	2	-2	82.40	1.1703	2	11.2"
"2	0	2	82.40	1.1703	2	11.2"
"0	2	2	82.40	1.1703	2	11.2"
"2	-1	-3	82.92	1.1644	2	0.0"
"1	-2	3	82.92	1.1644	2	0.0"
"1	-2	-3	82.92	1.1644	2	0.0"
"2	-1	3	82.92	1.1644	2	0.0"
"2	0	-3	93.21	1.0609	2	24.4"
"2	-2	3	93.21	1.0609	2	24.4"
"2	-2	-3	93.21	1.0609	2	24.4"
"0	2	-3	93.21	1.0609	2	24.4"
"2	0	3	93.21	1.0609	2	24.4"
"0	2	3	93.21	1.0609	2	24.4"
"1	0	-5	96.92	1.0300	2	22.5"
"0	1	-5	96.92	1.0300	2	22.5"
"0	1	5	96.92	1.0300	2	22.5"
"1	-1	5	96.92	1.0300	2	22.5"
"1	0	5	96.92	1.0300	2	22.5"
"1	-1	-5	96.92	1.0300	2	22.5"
"2	-1	-4	98.06	1.0210	2	29.5"
"1	-2	4	98.06	1.0210	2	29.5"
"2	-1	4	98.06	1.0210	2	29.5"
"1	-2	-4	98.06	1.0210	2	29.5"
"1	1	-4	98.06	1.0210	2	29.5"
"1	1	4	98.06	1.0210	2	29.5"
"3	-1	0	104.78	0.9731	2	6.7"
"3	-2	0	104.78	0.9731	2	6.7"
"1	-3	0	104.78	0.9731	2	6.7"
"2	-3	0	104.78	0.9731	2	6.7"
"2	1	0	104.78	0.9731	2	6.7"
"1	2	0	104.78	0.9731	2	6.7"
"3	-2	1	107.02	0.9589	2	19.8"
"2	-3	1	107.02	0.9589	2	19.8"
"3	-2	-1	107.02	0.9589	2	19.8"
"2	-3	-1	107.02	0.9589	2	19.8"
"3	-1	1	107.02	0.9589	2	19.8"
"3	-1	-1	107.02	0.9589	2	19.8"
"1	-3	-1	107.02	0.9589	2	19.8"
"1	-3	1	107.02	0.9589	2	19.8"
"2	1	-1	107.02	0.9589	2	19.8"
"1	2	-1	107.02	0.9589	2	19.8"
"2	1	1	107.02	0.9589	2	19.8"
"1	2	1	107.02	0.9589	2	19.8"
"0	2	-4	108.63	0.9491	2	6.5"
"2	0	-4	108.63	0.9491	2	6.5"
"2	-2	-4	108.63	0.9491	2	6.5"
"2	-2	4	108.63	0.9491	2	6.5"
"2	0	4	108.63	0.9491	2	6.5"
"0	2	4	108.63	0.9491	2	6.5"
"0	0	6	110.81	0.9365	2	25.8"
"2	-3	2	113.93	0.9195	2	6.4"
"1	-3	2	113.93	0.9195	2	6.4"
"3	-2	-2	113.93	0.9195	2	6.4"
"3	-1	-2	113.93	0.9195	2	6.4"
"3	-1	2	113.93	0.9195	2	6.4"
"1	-3	-2	113.93	0.9195	2	6.4"
"2	-3	-2	113.93	0.9195	2	6.4"
"3	-2	2	113.93	0.9195	2	6.4"
"1	2	-2	113.93	0.9195	2	6.4"
"2	1	-2	113.93	0.9195	2	6.4"
"1	2	2	113.93	0.9195	2	6.4"
"2	1	2	113.93	0.9195	2	6.4"
"1	-2	5	118.62	0.8964	2	0.0"
"2	-1	-5	118.62	0.8964	2	0.0"
"2	-1	5	118.62	0.8964	2	0.0"
"1	-2	-5	118.62	0.8964	2	0.0"
