"H	K	L	2THETA	D-VALUE	MULT	INTENSITY"
"1	0	-1	33.14	2.7033	2	1000.0"
"0	1	-1	33.14	2.7033	2	1000.0"
"1	0	1	33.14	2.7033	2	1000.0"
"0	1	1	33.14	2.7033	2	1000.0"
"0	0	2	36.91	2.4350	2	732.4"
"1	-1	0	39.20	2.2981	2	612.0"
"1	1	0	39.20	2.2981	2	612.0"
"1	1	-2	54.94	1.6713	2	204.6"
"1	-1	2	54.94	1.6713	2	204.6"
"1	-1	-2	54.94	1.6713	2	204.6"
"1	1	2	54.94	1.6713	2	204.6"
"2	0	0	56.64	1.6250	2	184.0"
"0	2	0	56.64	1.6250	2	184.0"
"0	1	-3	64.12	1.4523	2	118.9"
"1	0	-3	64.12	1.4523	2	118.9"
"1	0	3	64.12	1.4523	2	118.9"
"0	1	3	64.12	1.4523	2	118.9"
"2	-1	1	67.22	1.3927	2	100.7"
"2	-1	-1	67.22	1.3927	2	100.7"
"1	-2	-1	67.22	1.3927	2	100.7"
"1	-2	1	67.22	1.3927	2	100.7"
"2	1	-1	67.22	1.3927	2	100.7"
"1	2	-1	67.22	1.3927	2	100.7"
"2	1	1	67.22	1.3927	2	100.7"
"1	2	1	67.22	1.3927	2	100.7"
"0	2	-2	69.55	1.3517	2	89.3"
"2	0	-2	69.55	1.3517	2	89.3"
"2	0	2	69.55	1.3517	2	89.3"
"0	2	2	69.55	1.3517	2	89.3"
"0	0	4	78.57	1.2175	2	59.2"
"2	-2	0	84.27	1.1490	2	47.8"
"2	2	0	84.27	1.1490	2	47.8"
"1	2	-3	90.78	1.0828	2	39.3"
"2	1	-3	90.78	1.0828	2	39.3"
"1	-2	3	90.78	1.0828	2	39.3"
"2	-1	-3	90.78	1.0828	2	39.3"
"2	-1	3	90.78	1.0828	2	39.3"
"1	2	3	90.78	1.0828	2	39.3"
"2	1	3	90.78	1.0828	2	39.3"
"1	-2	-3	90.78	1.0828	2	39.3"
"1	-1	4	91.54	1.0758	2	38.5"
"1	1	-4	91.54	1.0758	2	38.5"
"1	-1	-4	91.54	1.0758	2	38.5"
"1	1	4	91.54	1.0758	2	38.5"
"3	0	-1	93.60	1.0575	2	36.7"
"0	3	-1	93.60	1.0575	2	36.7"
"0	3	1	93.60	1.0575	2	36.7"
"3	0	1	93.60	1.0575	2	36.7"
"2	-2	-2	95.78	1.0392	2	35.0"
"2	-2	2	95.78	1.0392	2	35.0"
"2	2	-2	95.78	1.0392	2	35.0"
"2	2	2	95.78	1.0392	2	35.0"
"1	3	0	97.20	1.0277	2	34.0"
"1	-3	0	97.20	1.0277	2	34.0"
"3	1	0	97.20	1.0277	2	34.0"
"3	-1	0	97.20	1.0277	2	34.0"
"2	0	-4	104.59	0.9744	2	30.6"
"0	2	-4	104.59	0.9744	2	30.6"
"0	2	4	104.59	0.9744	2	30.6"
"2	0	4	104.59	0.9744	2	30.6"
"3	-1	-2	109.01	0.9469	2	29.6"
"3	1	-2	109.01	0.9469	2	29.6"
"1	-3	-2	109.01	0.9469	2	29.6"
"1	-3	2	109.01	0.9469	2	29.6"
"1	3	-2	109.01	0.9469	2	29.6"
"3	-1	2	109.01	0.9469	2	29.6"
"1	3	2	109.01	0.9469	2	29.6"
"3	1	2	109.01	0.9469	2	29.6"
"1	0	-5	111.43	0.9330	2	29.2"
"0	1	-5	111.43	0.9330	2	29.2"
"0	1	5	111.43	0.9330	2	29.2"
"1	0	5	111.43	0.9330	2	29.2"
"0	3	-3	117.63	0.9011	2	29.1"
"3	0	-3	117.63	0.9011	2	29.1"
"0	3	3	117.63	0.9011	2	29.1"
"3	0	3	117.63	0.9011	2	29.1"
