X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

15,0	91
15,2	98
15,4	95
15,6	97
15,8	100
16,0	95
16,2	93
16,4	95
16,6	94
16,8	91
17,0	101
17,2	108
17,4	109
17,6	103
17,8	91
18,0	86
18,2	86
18,4	91
18,6	95
18,8	98
19,0	114
19,2	154
19,4	172
19,6	147
19,8	97
20,0	90
20,2	91
20,4	86
20,6	82
20,8	72
21,0	69
21,2	66
21,4	71
21,6	74
21,8	72
22,0	85
22,2	95
22,4	112
22,6	118
22,8	94
23,0	75
23,2	61
23,4	55
23,6	65
23,8	59
24,0	57
24,2	61
24,4	58
24,6	53
24,8	59
25,0	56
25,2	58
25,4	56
25,6	55
25,8	58
26,0	47
26,2	52
26,4	51
26,6	53
26,8	51
27,0	50
27,2	50
27,4	48
27,6	52
27,8	50
28,0	48
28,2	49
28,4	47
28,6	44
28,8	52
29,0	50
29,2	55
29,4	49
29,6	47
29,8	43
30,0	42
30,2	42
30,4	45
30,6	43
30,8	42
31,0	47
31,2	40
31,4	41
31,6	42
31,8	44
32,0	49
32,2	49
32,4	49
32,6	57
32,8	73
33,0	63
33,2	49
33,4	38
33,6	34
33,8	40
34,0	39
34,2	36
34,4	38
34,6	40
34,8	44
35,0	47
35,2	41
35,4	35
35,6	37
35,8	36
36,0	37
36,2	36
36,4	35
36,6	37
36,8	35
37,0	37
37,2	29
37,4	34
37,6	33
37,8	32
38,0	32
38,2	32
38,4	35
38,6	38
38,8	46
39,0	55
39,2	56
39,4	66
39,6	52
39,8	38
40,0	31
40,2	29
40,4	35
40,6	33
40,8	36
41,0	34
41,2	37
41,4	37
41,6	37
41,8	34
42,0	32
42,2	28
42,4	28
42,6	28
42,8	27
43,0	29
43,2	27
43,4	27
43,6	28
43,8	26
44,0	30
