X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

14,0	35
14,1	36
14,2	37
14,3	36
14,4	36
14,5	36
14,6	33
14,7	36
14,8	36
14,9	36
15,0	35
15,1	32
15,2	40
15,3	37
15,4	38
15,5	35
15,6	37
15,7	37
15,8	41
15,9	43
16,0	49
16,1	48
16,2	54
16,3	45
16,4	43
16,5	37
16,6	38
16,7	34
16,8	36
16,9	35
17,0	39
17,1	34
17,2	37
17,3	38
17,4	39
17,5	41
17,6	46
17,7	41
17,8	41
17,9	37
18,0	33
18,1	37
18,2	37
18,3	36
18,4	34
18,5	35
18,6	35
18,7	35
18,8	33
18,9	36
19,0	41
19,1	48
19,2	52
19,3	55
19,4	58
19,5	64
19,6	64
19,7	56
19,8	46
19,9	37
20,0	36
