X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

14,0	75
14,2	79
14,4	77
14,6	90
14,8	78
15,0	77
15,2	76
15,4	74
15,6	83
15,8	82
16,0	108
16,2	106
16,4	95
16,6	78
16,8	78
17,0	84
17,2	87
17,4	90
17,6	101
17,8	89
18,0	82
18,2	69
18,4	81
18,6	75
18,8	79
19,0	93
19,2	106
19,4	122
19,6	125
19,8	96
20,0	75
20,2	69
20,4	75
20,6	82
20,8	74
21,0	73
21,2	68
21,4	75
21,6	77
21,8	81
22,0	70
22,2	80
22,4	75
22,6	69
22,8	73
23,0	71
23,2	80
23,4	74
23,6	75
23,8	71
24,0	80
24,2	85
24,4	90
24,6	76
24,8	76
25,0	73
25,2	75
25,4	71
25,6	76
25,8	68
26,0	69
26,2	76
26,4	75
26,6	74
26,8	66
27,0	64
27,2	72
27,4	79
27,6	74
27,8	79
28,0	73
28,2	82
28,4	72
28,6	70
28,8	76
29,0	71
29,2	68
29,4	66
29,6	74
29,8	72
30,0	71
30,2	75
30,4	79
30,6	86
30,8	85
31,0	90
31,2	92
31,4	81
31,6	81
31,8	76
32,0	71
32,2	74
32,4	71
32,6	66
32,8	73
33,0	65
33,2	67
33,4	76
33,6	71
33,8	70
34,0	72
34,2	75
34,4	67
34,6	73
34,8	68
35,0	66
35,2	67
35,4	67
35,6	73
35,8	77
36,0	80
36,2	76
36,4	80
36,6	74
36,8	69
37,0	64
