X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5,0	7
5,1	9
5,2	10
5,3	12
5,4	9
5,5	10
5,6	7
5,7	13
5,8	10
5,9	10
6,0	13
6,1	16
6,2	14
6,3	17
6,4	23
6,5	39
6,6	50
6,7	68
6,8	82
6,9	106
7,0	104
7,1	123
7,2	141
7,3	149
7,4	161
7,5	168
7,6	187
7,7	189
7,8	204
7,9	206
8,0	220
8,1	226
8,2	238
8,3	228
8,4	234
8,5	245
8,6	240
8,7	241
8,8	244
8,9	262
9,0	265
9,1	277
9,2	267
9,3	268
9,4	265
9,5	275
9,6	284
9,7	290
9,8	281
