X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp { Measurement 3 }
?_c/°	Imp/# / s

4,0	21
4,2	24
4,4	30
4,6	29
4,8	32
5,0	49
5,2	88
5,4	144
5,6	192
5,8	239
6,0	279
6,2	301
6,4	341
6,6	374
6,8	397
7,0	412
7,2	408
7,4	445
7,6	430
7,8	443
8,0	450
8,2	471
8,4	473
8,6	480
8,8	467
9,0	461
9,2	469
9,4	462
9,6	475
9,8	442
10,0	455
10,2	457
10,4	466
10,6	461
10,8	462
11,0	475
11,2	457
11,4	472
11,6	447
11,8	448
12,0	453
12,2	444
12,4	437
12,6	450
12,8	453
13,0	447
13,2	398
13,4	394
13,6	378
13,8	371
14,0	364
14,2	378
14,4	356
14,6	371
14,8	337
15,0	339
15,2	339
15,4	346
15,6	339
15,8	323
16,0	319
16,2	313
16,4	305
16,6	293
16,8	286
17,0	286
17,2	265
17,4	268
17,6	269
17,8	255
18,0	246
18,2	249
18,4	236
18,6	240
18,8	245
19,0	236
19,2	222
19,4	208
19,6	214
19,8	235
20,0	934
20,2	3614
20,4	1770
20,6	485
20,8	329
21,0	316
21,2	278
21,4	268
21,6	273
21,8	267
22,0	273
22,2	1138
22,4	8153
22,6	8435
22,8	2443
23,0	347
23,2	241
23,4	212
23,6	196
23,8	176
24,0	175
24,2	162
24,4	152
24,6	149
24,8	141
25,0	138
25,2	128
25,4	119
25,6	122
25,8	120
26,0	115
26,2	114
26,4	104
26,6	107
26,8	96
27,0	103
27,2	91
27,4	89
27,6	83
